,index,Class,Text
775,20962,Books,"Understanding Digital Marketing: Marketing Strategies for Engaging the Digital Generation Review ""Understanding Digital Marketing accomplishes well the difficult feat of assembling current practical strategies from leading experts in the digital marketing field."" (Carol Stuckey, Executive Director, Strategic Growth Initiatives, Harvard University Division of Continuing Education)""Comprehensive, contextualized and current. Does a great job of balancing solid overview with specific, insightful case examples. An essential addition to any marketer's bookshelf."" (Dr Agnes Nairn, Dean, Hult International Business School)""This is a great handbook to the world of digital marketing, a world that can seem quite overwhelming at times, especially with the speed of change. A practical guide, it makes a great case for the importance of digital marketing in any marketer's toolbox. Updated to include some of the latest challenges in digital marketing, what I like most is that it remains people-centric, to help ensure that any digital marketing activities you undertake have a fair chance of success."" (Tara Beard-Knowland, Senior Director at Ipsos Connect)""A no-nonsense, clearly written book which you can dip in and dip out of depending on your digital needs. Excellent to see that the 'human side of digital' has a clear presence throughout."" (Dr Sarah Warnes SFHEA, Senior Teaching Fellow, UCL School of Management)""One of the most comprehensive yet easy-to-read books on digital marketing available."" (The Marketer (about a previous edition))""This is the best book I've seen on Digital Marketing. Without doubt it has been a worthwhile investment for me in my career as a marketing executive for my organisation."" (Amazon reviewer (about a previous edition))""""[A] fine, accessible guide to digital marketing and appears here in its third updated edition which has been completely revamped to reflect key changes in digital marketing strategies and the digital environment."""" (Midwest Book Review, The Business Shelf (about a previous edition))""This book seeks to help the reader both understand digital marketing and develop marketing strategies that work within the digital realm. An attractive, accessible and informative guide with a great affordable price tag to match."" (Darren Ingram, Founder, Editor & Consultant, Darren Ingram Media 2016-12-14) 				    	 					 Book Description Explains how to choose appropriate online marketing channelsProvides tips on how to connect with customers and give them the engagement and interaction they requireLooks to the future and the trends which are shaping those opportunities, such as media sharing, ongoing interactive refinement, and co-creation content marketingContains new chapters on Native Advertising (such as bespoke Facebook sponsored posts and promoted tweets), the Internet of Things, and Video MarketingOnline resources: Bonus chapters, contributor views, and additional case studies on Kwik Fit, Battersea Dogs Home, and Yves Saint Laurent. 				    	 					              See all Product description"
776,21057,Books,Modern Operating Systems 4e 
777,21065,Books,Operating System Principles 
778,21076,Books,Internet and World Wide Web: How to Program 
779,21085,Books,The C Programming Language 
780,21119,Books,"Dear Zoo Book and CD (Book & CD) About the Author Rod Campbell has been writing and illustrating children's books for over 30 years. Best known for his classic lift-the-flap book, Dear Zoo, he is also the creator of the much-loved preschool character Buster. Ingeniously simple, with touches of gentle humour, Rod's books are loved by children, parents and teachers alike. Rod lives in London."
781,21158,Books,"Joseph Anton: A Memoir Review “A harrowing, deeply felt and revealing document: an autobiographical mirror of the big, philosophical preoccupations that have animated Mr. Rushdie’s work throughout his career.”—Michiko Kakutani, The New York Times    “A splendid book, the finest . . . memoir to cross my desk in many a year.”—Jonathan Yardley, The Washington Post   “Thoughtful and astute . . . an important book.”—USA Today   “Compelling, affecting . . . demonstrates Mr. Rushdie’s ability as a stylist and storytelle. . . . [He] reacted with great bravery and even heroism.”—The Wall Street Journal   “Gripping, moving and entertaining . . . nothing like it has ever been written.”—The Independent (UK)   “A thriller, an epic, a political essay, a love story, an ode to liberty.”—Le Point (France)   “Action-packed . . . in a literary class by itself . . . Like Isherwood, Rushdie’s eye is a camera lens —firmly placed in one perspective and never out of focus.”—Los Angeles Review of Books   “Unflinchingly honest . . . an engrossing, exciting, revealing and often shocking book.”—de Volkskrant (The Netherlands)   “One of the best memoirs you may ever read.”—DNA (India)    “Extraordinary . . . Joseph Anton beautifully modulates between . . . moments of accidental hilarity, and the higher purpose Rushdie saw in opposing—at all costs—any curtailment on a writer’s freedom.”—The Boston GlobeFrom the Hardcover edition.  About the Author SALMAN RUSHDIE is the author of eleven previous novels--Luka and the Fire of Life, Grimus, Midnight's Children (for which he won the Booker Prize and the Best of the Booker), Shame, The Satanic Verses, Haroun and the Sea of Stories, The Moor's Last Sigh, The Ground Beneath Her Feet, Fury, Shalimar the Clown, and The Enchantress of Florence--and one collection of short stories, East, West. He has also published three works of nonfiction: The Jaguar Smile, Imaginary Homelands: Essays and Criticism 1981-1991, and Step Across This Line, and coedited two anthologies, Mirrorwork and Best American Short Stories 2008. He is a former president of American PEN."
782,21167,Books,"50 People Every Christian Should Know: Learning from Spiritual Giants of the Faith From the Back Cover Find strength in their stories.We all need inspiration to lead lives that honor God. When our faith is weak or the pressures of the world seem overwhelming, remembering the great men and women of the past can inspire us to renewed strength and purpose. Our spiritual struggles are not new, and the stories of those who have gone before can help lead the way to our own victories.50 People Every Christian Should Know gives a glimpse into the lives of such people as: •Charles H. Spurgeon•G. Campbell Morgan•A. W. Tozer•Fanny Crosby•Amy Carmichael•Jonathan Edwards•James Hudson TaylorCombining the stories of fifty of these faithful men and women, beloved author Warren W. Wiersbe offers you insight and encouragement for life's uncertain journey.Warren W. Wiersbe is a former pastor of the Moody Church and author or editor of more than 150 books, including On Being a Servant of God and The Bumps Are What You Climb On. He lives with his wife Betty in Lincoln, NE, where he continues to write and to mentor younger pastors.This book combines Wiersbe's Living with the Giants and Victorious Christians You Should Know, plus a new preface and two new biographies. 				    	 					 About the Author Warren W. Wiersbe is a pastor, author, and editor of more than 150 books, including 50 People Every Christian Should Know, On Earth as It Is in Heaven, and Through the Year with Warren W. Wiersbe. Today his primary ministry is serving others through writing. He lives in Nebraska."
783,21183,Books,The Power of Your Subconscious Mind
784,21191,Books,Dr Fife's Keto Cookery: Nutritious & Delicious Ketogenic Recipes for Healthy Living 
785,21199,Books,The Monk Who Sold His Ferrari: A Spiritual Fable About Fulfilling Your Dreams & Reaching Your Destiny
786,21230,Books,Little Red Hen (Read it Yourself Level - 1) 
787,21338,Books,"Eleven Gods and a Billion Indians: The On and Off the Field Story of Cricket in India and Beyond Review 'A big story told with swaggering confidence from an Indian viewpoint, pitted with new detail...as well as demonstrating how MS Dhoni, the IPL and lately Virat Kohli embody a nation shrugging off the last of a deferential, colonial past and taking its place at the head of a new order.' (Jon Hotten Wisden Cricket Monthly) 				    	 					 About the Author Boria Majumdar, a Rhodes scholar, is recognized as one of India’s most influential commentators. Having covered international sport between 2000 and 2017, he is currently Consulting Editor, Sport, India Today Group and Senior Research Fellow, University of Central Lancashire. He was formerly Sports Expert at Times Now and Visiting Professor at the Universities of Chicago and Toronto. Majumdar has written more than 1,000 columns on sports over the last fifteen years, and has authored or co-authored multiple books, among them Olympics: The India Story (with Nalin Mehta) and Playing It My Way—Sachin Tendulkar’s autobiography."
788,21345,Books,India Unlimited Book 4: The Sports Quiz Book 
789,21354,Books,"Relentless: From Good to Great to Unstoppable Review ""Tim Grover is the master of mental toughness. This book is the blueprint for discovering what you are capable of achieving, getting results you never imagined, reaching the highest level of success--and then going even higher."" (Kobe Bryant)""I consider Tim Grover to be second to none in his knowledge of sports training, and he was an invaluable part of my training program. He is a take-charge person, with a deliberate but energetic and enthusiastic technique."" (Michael Jordan)""Tim Grover’s insight into leadership and excellence has taken the greats to the top, and his book will do the same for you. Relentless is about breaking the rules that hold you back and trusting your instincts to take you where you want to be.""  (Mike ""Coach K"" Krzyzewski, Duke University and USA Men’s Olympic Basketball head coach, and bestselling author of Leading with the Heart)“This book will do for you what Tim has done for me--take you to the next level, and show you how to be the best at whatever you do. I have unbelievable trust and faith in him.”  (Dwyane Wade)""In all the years that I coached, inspired and trained world class athletes there was no better resource to collaborate with than Tim Grover."" (Pat Riley, 8-time NBA champion and NBA Hall-of-Fame coach)""If you compete at anything--sports or business or life--you need this book. No one knows more than Tim Grover about competitive intensity, killer instinct and crushing the other guy. He is the best at what he does: Creating champions."" (Charles Barkley)“Grover finally marches the public behind the curtain of decades of work with the likes of Jordan and Kobe Bryant, a riveting read that balances the illumination of the work of those stars and how it can apply to everyone else. . . Magnificent.” (Adrian Wojnarowski Yahoo! Sports)Straight up.  Relentless...is one of the best books I've ever read. (Jim Rome)“An opus on successful thinking.” (Sun Sentinel)""A must-read... Grover calls upon his decades of experience working with the world's most eliteathletes to dissect what it takes not just to succeed, but to be the absolutebest."" (Stack.com) 				    	 					 About the Author Tim S. Grover is the preeminent authority on the science and art of achieving physical and mental dominance. Since 1989, he has been the CEO of Attack Athletics, appearing around the world as a keynote speaker and consultant to business leaders, athletes, and elite achievers in any area who want to know how the best can get better in anything they do, teaching the principles of relentless drive, result-driven performance, and mental toughness. A featured columnist at SI.com and Yahoo.com, he also appears regularly on ESPN and other media outlets. He is the author of the national bestseller Relentless: From Good to Great to Unstoppable and creator of digital training platform “The Relentless System.” He is based in Chicago.  Shari Lesser Wenk, co-writer of the bestselling Start Something by Earl Woods and the Tiger Woods Foundation, has worked on sports books as a literary agent, editor, and ghost writer since 1983. She lives in Chicago. 				    	 					              See all Product description"
790,21431,Books,"INTRODUCTION TO INTERNATIONAL RELATIONS 5E P INTRODUCTION TO INTERNATIONAL RELATIONS 5E Pby JACKSON, ROBERT; SORENSEN, GEORG, 9780198814351"
791,21448,Books,Lovely Board Books: Gift Pack (Set of 10 Books) 
792,21463,Books,"My First 1000 Words: Early Learning Picture Book to learn Alphabet, Numbers, Shapes and Colours, Transport, Birds and Animals, Professions, Opposite ... Parts of the body and Objects Around Us. About the Author Wonder House has a dedicated team of editors and designers involved in the development of magnificent and enriching children books. The team pays special attention to develop age appropriate content and does extensive research on every topic included in the book. Our mission is to develop highly informative content which will help the children to master different skills. At Wonder House, we strive to make learning a joy."
793,21481,Books,Kiran’s Bank Clerical Solved Papers for IBPS Bank Clerk CWE 2017 - 1885 
794,21535,Books,Bank PO Quantitative Aptitude Chapterwise Solved Papers 1999 Till Date 7500+ Objective Question - 2297 
795,21555,Books,"15 Practice Sets IBPS SO Main Marketing Officer About the Author An editorial team of highly skilled professionals at Arihant, works hand in glove to ensure that the students receive the best and accurate content through our books. From inception till the book comes out from print, the whole team comprising of authors, editors, proof-readers and various other involved in shaping the book put in their best efforts, knowledge and experience to produce the rigorous content the students receive. Keeping in mind the specific requirements of the students and various examinations, the carefully designed exam oriented and exam ready content comes out only after intensive research and analysis. The experts have adopted whole new style of presenting the content which is easily understandable, leaving behind the old traditional methods which once used to be the most effective. They have been developing the latest content and updates as per the needs and requirements of the students making our books a hallmark for quality and reliability for the past 15 years."
796,21574,Books,"An Easy Approach to High Level Reasoning: Banking, Insurance and Other Competitive Examinations About the Author Yatindra Sidharth, graduated from BHU, in science stream has also done B. Ed., LL. B., M. A. In Psychology and Diploma in yoga. He has a teaching experience of more than twenty-one years in branded institutes in different fields like CAT, Bank PO, CLAT and Psychometric test for railways. Participated in the workshop of syllabus committee organised by State Council of Education Research and Training, Bihar (SCERT) in 2004.Participated in the workshop for preparing seven days training module (Patanjali) for school teachers of Bihar Government organised by Bihar Education Project Council. Worked as a resource person of Bihar Education Project Council."
797,21581,Books,"15 Practice Sets for NIACL - New India Assurance Company Limited - Assistant Preliminary Exam 2018 About the Author Disha Experts is a team of most renowned and prolific content writers pioneering in School and Test Prep segments (Competitive Exams and Government Vacancies). It consists of more than 30 experts comprising of PhDs, B-Techs, PGs, etc. working full-time with decades of experience in various academic and competitive exam verticals. Disha Experts has emerged as a think tank in the School and Test Prep segments providing the most updated (latest pattern and syllabus-wise) to-the-point student friendly (relevant and easy-to-understand presentation) content such that the aspirants can give their best."
798,21630,Books,"NCC: Handbook of NCC Cadets for 'A', 'B' and 'C' Certificate Examinations ""The present book on NCC is published for the benefit of all the cadets of National Cadet Corps. The book covers all aspects of NCC training in appropriate detail and comprises the latest study material on both common and specialised subjects with exhaustive exercises. Solved Model test papers are also provided in the book to make the readers familiar with the test-pattern of NCC Certificate Exams. Detailed answers have also been provided for better understanding of readers. The book concisely covers all aspects of NCC training and exams such as : NCC–At a Glance, Drill & Commands, Weapon Training, Map Reading, Field Craft & Battle Craft, Obstacles Training & Adventure Activities, National Integration, Civil Defence & Disaster Management, Social Awareness, Health & Hygiene, Yoga & Aasnas, Home Nursing, Posture Training, Self Defence, Environment & Ecology, Famous Leaders of India, etc. There are separate units in the book on A Career in Defence Services, Defence Services, Leadership & Personality Development, Services Tests & Interviews, General Awareness, History of India, etc. The book, with a simplified and reader-friendly approach, has been prepared under the active guidance and supervision of a panel of experts in the field. The sole aim of the book is to turn the young school and college students into full-fledged cadets of NCC. "" _CONTENTS_:- NCC Model Paper I & II; NCC: At A Glance; Defence Services; Drill & Commands; Weapon Training; Map Reading; Field Craft & Battle Craft; Obstacles Training & Adventure Activities; A Career in Defence Services; Services Tests & Interviews; National Integration; Leadership & Personality Development; Civil Defence & Disaster Management; Social Awareness; Health and Hygiene; Yoga & Asanas; Home Nursing; Posture Training; Self-Defence; Environment and Ecology; Famous Leaders of India; History of India; General Awareness; Solved Questions for NCC Exams; Test Your Knowledge."
799,21650,Books,"AFCAT - The First Step Book AFCAT - The First Step Book – 2018 consists of 4 comprehensive sections with a lot of practice questions to make you competent enough for the exam. -General Knowledge -Numerical Ability -Verbal Ability in English -Reasoning and Military Aptitude. The general awareness section covers 1000+ questions on current affairs, sports, defence, history, geography, general politics, basic science, arts and culture etc. Solve your numerical questions with amazing tricks which helps you to approach all the variants so that you can answer them with ease. The verbal ability section also covers logics, approach & practice set to be confident enough in English. The reasoning and military aptitude section includes verbal and non-verbal reasoning, spatial ability, rotated blocks, hidden figures etc. and will help you know all variants of questions asked."
800,21670,Books,41 Years (1978-2018) JEE Advanced (IIT-JEE) + 17 yrs JEE Main Topic-wise Solved Paper PCM 
801,21678,Books,41 Years (1978-2018) JEE Advanced (IIT-JEE) + 17 yrs JEE Main Topic-wise Solved Paper Physics 
802,21713,Books,"GATE Computer Science and Information Technology 2019 About the Author Trishna Knowledge Systems is a premier institute training students from past 20 years for various entrance examinations across the country. Apart from assisting in preparation for the GATE examination, they train graduates for National level examinations like CAT, MAT, XAT, NIMCET, SNAP. International level examinations like GRE, GMAT, TOEFL, IELTS and all major state level MBA/MCA entrance examinations. For job aspirants they also train students for campus recruitment and Bank jobs and the Civil Services. They also offer training for National level examinations like JEE (Mains and Advanced) and for local Engineering and Medical entrance tests. They also offer IIT-Foundation course and preparatory courses for school/board examinations for secondary school students."
803,21760,Books,"Play with Graphs for JEE Main and Advanced About the Author An editorial team of highly skilled professionals at Arihant, works hand in glove to ensure that the students receive the best and accurate content through our books. From inception till the book comes out from print, the whole team comprising of authors, editors, proof-readers and various other involved in shaping the book put in their best efforts, knowledge and experience to produce the rigorous content the students receive. Keeping in mind the specific requirements of the students and various examinations, the carefully designed exam oriented and exam ready content comes out only after intensive research and analysis. The experts have adopted whole new style of presenting the content which is easily understandable, leaving behind the old traditional methods which once used to be the most effective. They have been developing the latest content and updates as per the needs and requirements of the students making our books a hallmark for quality and reliability for the past 15 years."
804,21800,Books,"MHT-CET Triumph Physics, Chemistry and Maths MCQs (Based on XI & XII Syllabus MH Board) MHT-CET Triumph Physics, Chemistry & Maths MCQs Combo is a set of comprehensive reference books in adherence to the syllabus notified for MHT CET Examinations. The salient features of the books are as follows:   Detailed description of the latest MHT CET Paper Pattern, Marks Distribution & Syllabus is given at the beginning of the book to help students understand the nature of the examination.  Compendious sections in every chapter enable students to strengthen their concept base. These sections are as follows:   Overview is given at the beginning of every chapter to help students have a cursory glance at the content.  Sections titled  ‘Formulae’, ‘Shortcuts’, & ‘Notes’ are covered to help strengthen concept base.  Additional information of concepts is provided in order to foster a strong knowledge base.  Evaluation test at the end of the chapters, facilitates revision.   MCQs in the books are categorized under the following headers:  Classical Thinking:  consists of straight forward questions including knowledge based questions.  Critical Thinking:  consists of questions that require a basic understanding of the concept.  Competitive Thinking:  consists of questions from various competitive examinations like MHT CET, AFMC, AP EAMCET etc.   Questions from Previous Year’s Examinations are also added to give a reference point to students & enable them to prepare in an effective manner.  Students can scan QR Codes placed in the Notes & access Hints for the given questions.  Two Model Question Papers are given at the end of every book to assess the preparation level of students.  We are confident that this combo would assist students to build a powerful concept base."
805,21820,Books,Nirali Brihanmumbai Mahanagarpalika Duyyam Abhiyanta (Sthapatya)
806,21821,Books,"CIVIL Ki GOLI Error free Good CIVIL Engineering Questions combination (Basic, Conceptual, Advance & Confusing Type) & useful for SSC JE, State JE/AE Exams. Foundation Book for IES / GATE Aspirants."
807,21896,Books,Selected Contemporary Essays 
808,21967,Books,Investment Banking for Dummies
809,21990,Books,CBSE NCERT Exemplar Problems-Solutions Mathematics class 11  for 2018 - 19 
810,22005,Books,"Our Films, Their Films From Booklist The late Bengali filmmaker Satyajit Ray veered from the oft-traveled route of his compatriots and eschewed the conventions of Indian movies, which are mostly two-and-a-half-hour melodramas featuring the latest star, pop songs, and dances. Ray's was a more serious, socially conscious cinema examining contemporary issues. His first features, the famous Apu trilogy (Pather Panchali, Aparajito, Apu Sansar), introduced Indian film to the West and made Ray a cultural hero in India. These essays written over a period of 25 years reflect Ray's insights into Indian cinema, his own career, and such other great filmmakers as Charles Chaplin, Jean Renoir, the Italian neorealists, Akira Kurasawa, and John Ford. They resemble the work of the 1950s French intellectuals who wrote for Cahiers du Cinema before turning to filmmaking themselves, and in them Ray proves his adeptness as a writer and as an auteur. This collection is published in conjunction with the restoration and rerelease of some of Ray's major films. Benjamin Segedin"
811,22044,Books,RRB (Railway Recruitment Board) 2019 - Junior Engineer CBT -I & II - Computer Science & Information Technology 
812,22090,Books,SSC Mathematics (1999-2017) Typewise Questions 7300 Objective Questions (Bilingual) Rakesh Yadav Readers Publication Pvt. Ltd.
813,22288,Books,"SAT Power Vocab: A Complete Guide to Vocabulary Skills and Strategies for the SAT (College Test Preparation) About the Author The experts at The Princeton Review have been helping students, parents and educators achieve the best results at every stage of the education process since 1981. The Princeton Review has helped millions succeed on standardized tests and they also provide expert advice and instruction to help parents, teachers, students and schools navigate the complexities of school admissions. They offer classroom courses in 41 states and 21 countries, online and school-based courses and one-to-one and small group tutoring."
814,22301,Books,"The Official SAT Study Guide (Official Study Guide for the New Sat) About the Author The College Board, a not-for-profit membership association, connects students to college success and opportunity through major programs and services in college admissions, guidance, assessment, financial aid, enrolment, and teaching and learning. Among its best-known programs are the SAT(r), the PSAT/NMSQT(r), and the Advanced Placement Program(r) (AP(r)). Students, parents, educators, and librarians recognize the College Board as a source of expertise on SAT and CLEP(r) test preparation, college admissions, and financial aid. The College Board publishes the bestselling ""The Official SAT Study Guide,"" the ""College Handbook,"" the ""Book of Majors,"" and other books that help students prepare for college, research their options, and succeed in higher education."
815,22360,Books,"SSB Interview: The Complete Guide About the Author Dr. (Cdr.) N.K. Natarajan has an experience of over 25 years in the Indian Navy and a three year stint as a Group Testing Officer at the Selection Center in Bhopal. In addition to serving in the navy, he also holds a degree in management and a doctorate in psychology. He has helped assess more than 1500 candidates during his term as a selection officer. 				    	 				        	--This text refers to the Kindle Edition edition."
816,22440,Books,"Legal Awareness and Legal Reasoning: For CLAT and Other Law Entrance Examinations Celebrating 10 Successful Years in Guiding Aspirants to Crack CLAT and Other Premier LLB Examinations About the Author A.P. Bhardwaj is the Director of Innovation, a popular institute known for mentoring students for CLAT, SET, LSAT and other law entrance test preparations. In the past decade, he has successfully guided numerous students to get admission into national law schools, colleges and universities across India. He has also enabled a lot of candidates to enter civil and judicial services. He is well known in the tricity of Chandigarh, Panchkula and Mohali for imparting quality guidance for Compulsory English and Essay Paper for civil and judicial service examinations."
817,22467,Books,"How to Prepare for Quantitative Aptitude for the CAT About the Author Arun Sharma is a post graduate from the prestigious Indian Institute of Management, Bangalore. He has been training corporate house and CAT aspirants since 1996 and has personally trained over a thousand students into the IIMs and other top B Schools. Besides, he holds the unique distinction of clearing the CAT 16 times in a row, with a score of 99.99 percentile in CAT 2008.With McGraw-Hill, he has a number of best-sellers to his credit. these are: How to Prepare for Data Interpretation for the CATHow to Prepare for Logical Reasoning for the CATHow to Prepare for Verbal ability and Reading Comprehension for the CAT(with Meenakshi Upadhyay)Study Package for the CAT Online (with Meenakshi Upadhyay)Test Series for the CAT Online (with Meenakshi Upadhyay)."
818,22501,Books,Cambridge Grammar for Ielts with Answers and Audio CD 
819,22533,Books,The Monk Who Sold His Ferrari 
820,22535,Books,"Emotion and Relationships Review Relationships and Emotion Spoon fed: I am sorry I cannot provide a review on this book as it is written by my GURU, but rest assured that if this is your first contact with him, it is going to be a one way enjoyable/pleasurable journey for you with him. So don't wait hop on NOW. --By Amazon Customer on 28 January 2018 				    	 					 About the Author Sadhguru is a yogi and profound mystic of our times. An absolute clarity of perception places him in a unique space in not only matters spiritual but in business, environmental and international affairs and opens a new door on all that he touches."
821,22550,Books,"Spiritual Power: Being and Becoming - Vol. 1 About the Author Gian Kumar was born in a traditional Hindu family in Burma (now Myanmar) and later moved to India. The inherent confusion and chaos underlying religion (which he found dogmatic) gradually propelled him towards spirituality, which proved to be a revelation and provided him inner peace and tranquillity. He has written three books: Know Thyself, Think from the Heart and Love from the Mind and The Ultimate Reality (all three published in 2015). He lives with his family in New Delhi and also in his spiritual home at Rishikesh (in Uttarakhand)."
822,22601,Books,AIIMS Assertion & Reason (Second Edition: 2017) Aiims Assertion & Reason
823,22617,Books,Assertion-Reason Question Bank in Biology for AIIMS 
824,22624,Books,"CURRENT DENTAL EXAMINATION-2017 Latest Solved AIIMS, PGI & UPSC Papers Memory-Based Authentic Qs with Concept-Based Explanations with References 200+ Image-Based Qs based on New Exam Pattern A Unique Companion in Your MDS Preparation"
825,22757,Books,"CCNA Data Center DCICT 200-155 Official Cert Guide About the Author Navaid Shamsee, CCIE No.12625, is a senior solutions architect in the Cisco Services organization. He holds a master’s degree in telecommunication and a bachelor’s degree in electrical engineering. He is also a triple CCIE in routing and switching, service provider and data center technologies. Navaid has extensive experience in designing, implementing and securing many large-scale enterprise and service provider data centers. In Cisco, Navaid is focused on the security of data center, cloud and software-defined networking technologies. David Klebanov, CCIE No.13791 (Routing and Switching), is leading Technical Marketing organization at Viptela, the Software Defined Wide Area Network (SD-WAN) company. David has more than 15 years of diverse industry experience architecting and deploying complex network environments. In his work, David sets strategic direction for industry-leading network platforms, which transform the world of wide area communications for enterprises and service providers alike. David also takes great pride in speaking at industry events, releasing publications and working on patents.Hesham Fayed, CCIE No.9303 (Routing and Switching/Data Center), is a consulting systems engineer for data center and virtualization based in California. Hesham has been with Cisco for more than 11 years and has 19 years of experience in the computer industry, working with service providers and large enterprises. His main focus is working with customers in the western region of the United States to address their challenges by doing end-to-end data center architecturesAhmed Afrose is a solutions architect at Cisco Cloud and Networking Services (C and NS) Innovation and Delivery team. He is responsible for providing architectural design guidance and leading complex multitech service deliveries. Furthermore, he is involved in demonstrating the Cisco value propositions in data center analytics, application automation, software-defined data centers and Cisco Unified Computing System (UCS). Ahmed has a bachelor’s degree in information systems. He started his career with Sun Microsystem based technologies and has 17 years of diverse experience in the industry. He’s been working for Cisco Systems for 7 plus years and was directly responsible for establishing Cisco UCS Advanced Services delivery capabilities while evangelizing the product in the EMEA region.Ozden Karakok, CCIE No. 6331, is a technical leader from the data center products and technologies team in the Technical Assistant Center (TAC). She has been with Cisco Systems for 17 years and specializes in storage area and data center networks. Prior to joining Cisco, Ozden spent five years working for a number of Cisco’s large customers in various telecommunication roles. She is a Cisco Certified Internetwork Expert in routing and switching, SNA/IP and storage. A frequent speaker at Cisco and data center events, she serves as a member of the patent committee at Cisco Services. Ozden holds a degree in computer engineering from Istanbul Bogazici University. Currently, she is focused on Application Centric Infrastructure (ACI) and software-defined storage (SDS)."
826,22798,Books,"Red Hat RHCSA/RHCE 7 Cert Guid About the Author Sander van Vugt is an independent Linux trainer, author, and consultant living in the Netherlands. Sander is the author of the best-selling Red Hat Certified System Administrator (RHCSA) Complete Video Course and also of the Red Hat Certified Engineer (RHCE) Complete Video Course. He has also written numerous books about different Linux-related topics, and many articles for Linux publications around the world. Sander has been teaching Red Hat, SUSE, and LPI Linux classes since 1994. As a consultant, he specializes in Linux high-availability solutions and performance optimization. You can find more information about Sander on his website at http://www.sandervanvugt.com ."
827,22801,Books,Red Hat Linux - Administrator 
828,22916,Books,"The Power Of Your Subconscious Mind From the Publisher ""I have seen miracles happen to men and women in all walks of life all over the world."" -- Dr. Joseph Murphy. At last, a great new scientific discovery brings the incredible force of your subconscious mind under your control. Here are the simple, scientifically proven techniques and the astonishing facts about how your subconscious powers can perform miracles of healing. How lung cancer has been cured and optic nerves made whole again. How you can use the newly discovered Law of Attraction to increase your money-getting powers. How your subconscious mind can win you friends, peace of mind, and even help you to attract the ideal mate. How your dreams can help you solve problems and make difficult decisions -- or warn you of potential disaster. Prosperity, happiness and perfect health are yours when you use The Power Of Your Subconscious Mind. 				    	 					 From the Inside Flap ""I have seen miracles happen to men and women in all walks of life all over the world."" -- Dr. Joseph Murphy. At last, a great new scientific discovery brings the incredible force of your subconscious mind under your control. Here are the simple, scientifically proven techniques and the astonishing facts about how your subconscious powers can perform miracles of healing. How lung cancer has been cured and optic nerves made whole again. How you can use the newly discovered Law of Attraction to increase your money-getting powers. How your subconscious mind can win you friends, peace of mind, and even help you to attract the ideal mate. How your dreams can help you solve problems and make difficult decisions -- or warn you of potential disaster. Prosperity, happiness and perfect health are yours when you use The Power Of Your Subconscious Mind."
829,22924,Books,"The Shining Review Obviously a masterpiece, probably the best supernatural novel in a hundred yearsAs a storyteller, he is up there in the Dickens class 				    	 					 Book Description One of the true classics of horror fiction, THE SHINING is regarded as one of Stephen King's masterpieces. 				    	 					              See all Product description"
830,22926,Books,"Thirteen Reasons Why (TV Tie-in) Review A dizzying ride of suspense and revelation (Kathryn Hughes Guardian 2010-01-23)A stealthy hit with staying power . . . thriller-like pacing (New York Times)Thirteen Reasons Why is a mystery, eulogy, and ceremony. I know, in the years to come, I will often return to this book (Alexie Sherman, author of the award-winning DIARY OF A PART-TIME INDIAN)Readers won't be able to pull themselves away . . . (Publishers Weekly) 				    	 					 About the Author Jay Asher's bestselling debut novel, Thirteen Reasons Why has been adapted into a 13-part series on Netflix. He got the idea for the novel while listening to a museum audio tour - he was struck by the eeriness of the voice in his ear, a woman who described everything he was looking at, but wasn't there. His novels have been translated into thirty-seven languages."
831,22941,Books,"Environment: for Civil Services Prelims & Main and Other competitive examinations About the Author Prof. D R Khullar holds a Masters degree from Punjab University, Chandigarh and retired as a Principal, Government Post Graduate College, Kalka (Haryana) in 1998 after serving in different colleges of Haryana and Punjab. He has authored more than 40 books on different aspects of Geography and allied subjects. His knowledge on the subject has received an unprecedented response world over.Mr. J.A.C.S. Rao holds a Masters degree in Biochemistry from Andhra University, Waltair, Andhra Pradesh. Later he completed M.A. Sociology from G.G.U., a central university in Bilaspur. He joined Indian Forest Services (I.F.S.) in 1987 and was allotted Chhattisgarh Cadre and has held several posts in the Forest Department. Since Mr. Rao has worked widely in the field of Agriculture, Horticulture, Animal Husbandry, Fisheries etc. he has written several articles, books and booklets on the same. He also has a wide teaching experience in various institutions."
